entity_id,manufacturer,family,model_code,canonical_name,lifecycle_status,refrigerant,phase,rated_cooling_kw,max_cooling_kw,cooling_min_kw,indoor_airflow_min_lps,tcspf_hot,dnp_reason,dnp_updated_at,disposition_evidence_id
462c3a4e-2515-487c-9507-70ed8b03e861,ActronAir,Actron Classic Series 2,EVA100S / CRA100S,ActronAir EVA100S / CRA100S,current,,,10.16,10.16,,,,"Official AU manufacturer data: R410A fixed/single-stage Classic Series 2 with high minimum airflow; unremarkable for low-load/small-zone objective; retained, not removed",2026-09-17T04:55:00.433375+00:00,
d8cec6ab-25bc-4247-8241-0f83f44a649a,ActronAir,Actron AIRES,EVA10AS / CRS10AS,ActronAir EVA10AS / CRS10AS,current,R32,single-phase,10.00,12.34,3.89,400,4.45,"User pruning rule 2026-09-18: confirmed bottom-20% TCSPF strike (4.10) and all other available percentile characteristics at/below adverse 50th-percentile side: EER 3.36, minimum airflow 400 L/s, minimum cooling 3.89 kW. Official ActronAir data.",2026-09-18 06:44:29.844487+00,
898f6c99-21a6-44f5-bc78-d2f5bc8c99f0,ActronAir,Actron Classic Series 2,EVA130S / CRA130S,ActronAir EVA130S / CRA130S,current,,,12.24,12.24,,,,"Official AU manufacturer data: R410A fixed/single-stage Classic Series 2 with high minimum airflow; unremarkable for low-load/small-zone objective; retained, not removed",2026-09-17T04:55:00.433375+00:00,
782fad63-43d4-479d-b35f-aee6e0828eaf,ActronAir,Actron Classic Series 2,EVA130S / CRA130T,ActronAir EVA130S / CRA130T,current,,,12.40,12.40,,,,"Official AU manufacturer data: R410A fixed/single-stage Classic Series 2 with high minimum airflow; unremarkable for low-load/small-zone objective; retained, not removed",2026-09-17T04:55:00.433375+00:00,
70a1e53e-71a8-43c2-acda-ae50aa1d0f99,ActronAir,Actron AIRES,EVA13AS / CRS13AS,ActronAir EVA13AS / CRS13AS,current,R32,,,,5.55,520,4.50,Official ActronAir AIRES April 2026 flyer confirms cooling minimum 5.55 kW (>5.0 kW hard triage threshold).,,
706d0e93-db63-471b-83f0-42fe08f80abb,ActronAir,Actron AIRES,EVA13AS / CRS13AT,ActronAir EVA13AS / CRS13AT,current,R32,,13.00,15.32,5.49,520,,Official ActronAir AIRES technical catalogue confirms cooling minimum 5.49 kW for exact CRS13AT / EVA13AS pairing (>5.0 kW hard triage threshold).,,
5f657226-1bf6-4859-8060-bf578eb2678e,ActronAir,Actron Advance B,EVV13BS / CRV13BT,ActronAir EVV13BS / CRV13BT,current,R32,three-phase,13.00,14.50,,,4.69,3-phase system; excluded from new-install candidate research.,2026-09-18T03:32:51.233376+00:00,b8113aff-e1bc-4db8-bf15-56da42c9f9d2
87494a6a-4cfc-4665-b5c3-7bdf8228a913,ActronAir,Actron UltraSlim 2,LRE-125CS / URC-125CS,ActronAir LRE-125CS / URC-125CS,current,R32,single-phase,12.90,15.00,5.00,500,5.57,User pruning rule 2026-09-18: automatic DNP at cooling minimum >=5.0 kW. Official ActronAir data: 5.0 kW minimum; also top-20% minimum airflow at 500 L/s.,2026-09-18 06:44:29.844487+00,
4b5968fa-aa9d-40d3-82cc-d5990a600ca8,Bonaire,Bonaire Ducted R32,CTG125S1AI / CTG125S1AE,Bonaire CTG125S1AI / CTG125S1AE,current,R32,single-phase,,,4.0,460,4.71,"Pruned 2026-09-18 after borderline review: official Bonaire data show 4.0 kW minimum cooling, 460 L/s minimum airflow and TCSPF 4.37. The 10.5 kW CTG100 sibling has the same low-load limits but materially better TCSPF 5.08; stronger 12.5 kW survivors also exist.",2026-09-18 06:50:55.431937+00,
23136be6-0b2c-4406-a341-588b2935bf01,Brivis,Brivis Ducted Reverse Cycle,AINHU11B1 / AONSR13B1,Brivis AINHU11B1 / AONSR13B1,current,,,10.3,,,,,Excluded from candidate research by user instruction.,2026-09-18T03:57:53.548627+00:00,
2ad85e7e-9bc5-44f5-9630-d1383f79c3f0,Carrier,Carrier QSM,42QSM105D8S / 38QSM105D8S,Carrier 42QSM105D8S / 38QSM105D8S,current,R32,single-phase,10.15,12.05,2.95,326,,"Pruned 2026-09-18 after Carrier sibling review: official Carrier data show EER 3.14, 2.95 kW minimum cooling and 326 L/s minimum airflow. QSH105 sibling has the same EER, nearly identical airflow, lower 2.4 kW minimum cooling and higher available static pressure, so QSM105 is dominated.",2026-09-18 06:50:55.431937+00,
3c8311fd-e0f9-4f99-88a1-8bf1e35688e8,Daikin,Daikin FBA/RZA Slimline,FBA100BVMA / RZAV100F2Y1,Daikin FBA100BVMA / RZAV100F2Y1,current,R32,three-phase,10.00,11.50,,,,3-phase system; excluded from new-install candidate research.,2026-09-18T03:32:51.233376+00:00,2652a38b-45b8-41a7-bef2-39a5744dbbfc
75bb37e9-98c9-4373-b0ad-e19e42412ff1,Daikin,Daikin FBA/RZA Slimline,FBA125BVMA / RZAV125F2Y1,Daikin FBA125BVMA / RZAV125F2Y1,current,R32,three-phase,12.50,14.00,,,5.03,3-phase system; excluded from new-install candidate research.,2026-09-18T03:32:51.233376+00:00,1549983f-4a01-458b-b9f7-3e682c615365
41cd052f-ef1a-4006-97d9-142374dc4811,Daikin,Daikin FBA/RZAC Slimline,FBA85BVMA / RZAC85C2V1,Daikin FBA85BVMA / RZAC85C2V1,current,R32,single-phase,8.5,10.0,3.2,,4.32,User pruning rule 2026-09-18: two confirmed efficiency strikes. Official Daikin data: residential average TCSPF 3.87 (bottom 10%) and EER 3.22 (bottom 20%).,2026-09-18 06:44:29.844487+00,
2e89a18b-8466-42af-8060-57edac25a896,Daikin,Daikin FBA/RZAC Slimline,FBA85BVMA / RZAC85C2Y1,Daikin FBA85BVMA / RZAC85C2Y1,current,R32,three-phase,8.5,10.0,,,,3-phase system; excluded from new-install candidate research.,2026-09-18T03:32:51.233376+00:00,a3ddbe90-f7cf-41a8-a073-7f459ba6d9bd
122fd9d0-9fa6-422c-933f-8ac67795f8e9,Daikin,Daikin FBA/RZA Slimline,FBA85BVMA / RZAV85CY1,Daikin FBA85BVMA / RZAV85CY1,current,R32,three-phase,8.50,10.00,,,4.80,3-phase system; excluded from new-install candidate research.,2026-09-18T03:32:51.233376+00:00,34d2857f-05dd-4b40-91a1-77c27934a8fe
baf17bdc-52cd-4450-97b9-c87085e00c79,Daikin,Daikin FDYA/RZA Premium,FDYA100AV19 / RZAS100C2V1,Daikin FDYA100AV19 / RZAS100C2V1,current,,,10.00,11.20,5.0,,,"published cooling minimum >4.5 kW; retained, not removed",,
3cc71ba2-9c25-4cbd-9575-52f45923737a,Daikin,Daikin FDYA/RZA Premium,FDYA125AV19 / RZAS125C2V1,Daikin FDYA125AV19 / RZAS125C2V1,current,,,12.50,14.00,5.0,,,"published cooling minimum >4.5 kW; retained, not removed",,
ab495782-2ef3-451e-9dc0-297405afff95,Daikin,Daikin FDYAN/RZA,FDYAN100AV1 / RZA100C2V1,Daikin FDYAN100AV1 / RZA100C2V1,current,R32,single-phase,10.00,11.20,,,4.28,"Hot-region efficiency prune: residential tcspf_hot 4.28, below the current 9.5-11.4 kW survivor lower quartile (~4.642); no compensating efficiency advantage. EER is warning-only and not part of the DNP basis.",2026-09-18T06:04:53.02571+00:00,a148554c-c83b-4aac-b47b-696d02683b72
